Celica,Jeep,Correa de distribucion,Commander,2008,2778,16
Sierra 3500,Dodge,Conector de carga,Caravan,1992,2675,18
GT,Ram,Modulo de control electrico,3500,2011,412,19
Swift,GMC,Bomba de combustible,Yukon XL 1500,2005,217,14
XK Series,Audi,Cuerpo de aceleracion,riolet,1994,1154,19
Sprinter,Dodge,Faros,Durango,2011,473,3
Sedona,Honda,Bateria de litio,Passport,2000,2042,7
GS,Aston Martin,Enfriador de bateria,Rapide,2010,1199,18
XJ Series,Mitsubishi,Aceite de motor,Precis,1994,2034,24
Dakota,Pontiac,Filtro de aceite,Torrent,2008,1716,18
Avalon,Buick,Filtro de particulas diesel,Park Avenue,2004,2282,22
Firebird,Chevrolet,Bateria de litio,Silverado 3500,2005,2023,25
Sequoia,Acura,Aceite de motor,RDX,2012,343,18
Cooper,Honda,Conector de carga,Fit,2007,1021,8
ES,Dodge,Turbocompresor,Ram 3500 Club,1996,1536,7
Edge,Ford,Cargador electrico,Taurus X,2008,382,21
Capri,Volvo,Sistema de escape,V90,1997,1469,16
Kizashi,GMC,Cargador electrico,Sierra 2500,2003,2706,18
E250,Ford,Convertidor de corriente,Tempo,1987,2677,15
Pilot,Bentley,Bateria de litio,Arnage,2007,1268,24
B-Series,Chevrolet,Bomba de combustible,HHR,2006,237,5
Navigator,Jaguar,Conector de carga,XJ,2011,1604,4
Cruze,Honda,Convertidor de corriente,Odyssey,2009,1932,23
T100,Subaru,Inyectores de diesel,Alcyone SVX,1997,2842,21
Suburban 1500,Jaguar,Convertidor de corriente,S-Type,2000,1149,11
Suburban 2500,Pontiac,Radiador,GTO,1971,1539,13
Charger,Ferrari,Sistema de escape,599 GTB Fiorano,2009,322,21
Shadow,Ford,Inyectores de diesel,Windstar,2000,433,24
F350,Bentley,Radiador,Brooklands,2010,2652,7
E250,Pontiac,Inyectores de diesel,G8,2009,1815,13
E-Series,Lincoln,Espejo retrovisor,MKX,2007,1600,4
Savana 2500,Mitsubishi,Filtro de particulas diesel,3000GT,1993,1683,11
Legacy,BMW,Faros,5 Series,1992,1193,19
Club Wagon,Bentley,Alternador,Continental Flying Spur,2009,223,8
Impala,Bentley,Convertidor de corriente,Azure,2008,2401,17
Esteem,Lotus,Conector de carga,Esprit,2002,1885,13
F250,Mercury,Filtro de particulas diesel,Cougar,1999,2172,16
CL65 AMG,Lexus,Enfriador de bateria,IS F,2009,1151,21
Accord,Suzuki,Cuerpo de aceleracion,Swift,1993,2252,9
FX,Isuzu,Turbocompresor,Axiom,2002,2502,3
Type 2,Mercedes-Benz,Filtro de particulas electricas,R-Class,2009,420,8
F450,Ford,Convertidor catalitico,EXP,1986,698,22
Fusion,Ford,Espejo retrovisor,Expedition,2008,2949,17
626,Mitsubishi,Bujia,Eclipse,2011,2935,17
Pajero,Mazda,Radiador,626,1988,1346,3
Odyssey,Ford,Cargador electrico,LTD Crown Victoria,1989,2319,20
Club Wagon,Porsche,Alternador,928,1990,2015,23
Typ-1,Mazda,Cuerpo de aceleracion,Miata MX-5,2000,2903,9
Windstar,Subaru,Pastillas de freno,Impreza,2000,728,18
Rally Wagon G3500,Buick,Filtro de aire,Regal,2003,627,15
SL-Class,Dodge,Filtro de particulas electricas,Ram 50,1993,908,18
Express,Saturn,Inyectores de diesel,Aura,2009,2648,8
Mazda6,Chevrolet,Modulo de control electrico,Suburban 1500,1996,2263,12
Sephia,BMW,Inyectores de diesel,X6 M,2011,1397,19
Range Rover,Ford,Convertidor de corriente,E150,2012,2276,11
Mariner,Isuzu,Correa de distribucion,Trooper,1992,707,18
Pajero,Cadillac,Cargador electrico,Eldorado,1992,821,7
RS 6,Ford,Convertidor de corriente,Bronco,1988,1294,14
CR-Z,Ford,Conector de carga,Bronco II,1990,994,11
GTI,Subaru,Filtro de particulas electricas,Impreza,2011,975,8
100,Lexus,Motor electrico,RX,2013,2069,21
Landaulet,Aston Martin,Inyectores de diesel,Vantage,2008,1281,6
Avalon,Toyota,Bomba de combustible,Sienna,2002,2404,5
9-3,Chevrolet,Modulo de control electrico,Express 1500,2003,484,25
Tundra,Saturn,Faros,S-Series,1992,1183,14
Rally Wagon 3500,Suzuki,Bomba de combustible,SJ,1993,1536,3
Cherokee,Acura,Faros,RL,2001,1371,19
Sonata,Ford,Filtro de particulas electricas,Escort,2000,2890,10
E350,Nissan,Filtro de aceite,Rogue,2009,2800,22
Club Wagon,Toyota,Filtro de particulas diesel,TundraMax,2012,2032,7
RS6,Aston Martin,Filtro de particulas diesel,DB9 Volante,2006,1827,3
QX,Lexus,Cargador electrico,GX,2003,1508,19
Regal,Chevrolet,Bateria de litio,Aveo,2006,830,16
Swift,Hyundai,Cargador electrico,Elantra,2012,2448,13
C/V,MINI,Cuerpo de aceleracion,MINI,2002,2716,21
Ion,Suzuki,Motor electrico,Grand Vitara,2002,1122,3
SL-Class,Spyker,Modulo de control electrico,C8 Spyder Wide Body,2004,2434,22
Allante,Mercury,Radiador,Grand Marquis,1997,443,13
Freelander,Ford,Filtro de particulas diesel,Escape,2008,1407,9
Grand Prix,Nissan,Modulo de control electrico,Quest,2002,1870,7
I,GMC,Inyectores de diesel,Sierra 1500,2005,346,11
Corvette,Pontiac,Radiador,Turbo Firefly,1990,762,4
TT,Plymouth,Filtro de aceite,Grand Voyager,1998,510,3
Firebird Formula,Subaru,Espejo retrovisor,Forester,2011,2159,5
Alcyone SVX,Jeep,Bomba de combustible,Grand Cherokee,1998,2049,8
Tacoma,Saturn,Amortiguador,Relay,2007,1875,21
Galant,GMC,Bujia,Envoy XL,2005,2928,20
Mirage,Volvo,Bateria de arranque,XC70,2004,1958,24
Gallardo,Lincoln,Filtro de particulas diesel,Navigator,1999,2089,8
Crown Victoria,BMW,Pastillas de freno,7 Series,2004,2967,4
JUKE,Ford,Sistema de escape,Thunderbird,2003,1215,4
Ascender,Plymouth,Bateria de arranque,Laser,1992,1965,6
Prizm,Jaguar,Bateria de litio,X-Type,2005,2861,12
Ram 3500 Club,Subaru,Convertidor catalitico,Alcyone SVX,1994,2835,22
G-Series 2500,Volkswagen,Faros,GTI,2004,2813,14
